query,tag
پس از سال‌ها تلاش رازی موفق به کسف الکل شد. این دانشمند تیرانی باعث افتخار در تاریخ کور است,پس از سال‌ها تلاش رازی موفق به کشف الکل شد. این دانشمند ایرانی باعث افتخار در تاریخ کشور است
بسیاری از مباحث علوم غیرطبیغی با استفاده از فیزیک دنیای مادی ابل توجیح نیست و برای یادگیری باید به فلسفه‌های خاصی رجو کرد.,بسیاری از مباحث علوم غیرطبیغی با استفاده از فیزیک دنیای مادی قابل توجیه نیست و برای یادگیری باید به فلسفه‌های خاصی رجوع کرد.
املت شریف ایران، سال‌هاست که در پی آزادی هستند,املت شریف ایران، سال‌هاست که در پی آزادی هستند
دوستان خود را در صفر بشناسید,دوستان خود را در سفر بشناسید
سفرها رفتم و اما دلم راضی نشد هرگز,سفرها رفتم و اما دلم راضی نشد هرگز
دیدار تدارکاتی میان دو بیم چلسی و منچستر بدون گل به پایان رسید,دیدار تدارکاتی میان دو تیم چلسی و منچستر بدون گل به پایان رسید
نرخ تورم نقطه به نقطه به زیر ده درصد رسید,نرخ تورم نقطه به نقطه به زیر ده درصد رسید
بنزن امسال گران نمی‌شود,بنزین امسال گران نمی‌شود
بحران بی آتی در بسیاری ار شهرهای ایران,بحران بی آبی در بسیاری ار شهرهای ایران
ریزکردها در اهواز دوباره هوا را آلوده کردند,ریزگردها در اهواز دوباره هوا را آلوده کردند
کنکور سراسری از ۵ سال دیگر حرف خواهد شد!,کنکور سراسری از ۵ سال دیگر حذف خواهد شد!
ستار خوان چگونه پایه‌گذار انقلاب مشروطه شد؟,ستار خان چگونه پایه‌گذار انقلاب مشروطه شد؟
دیدار مولانا و شمس تبریری,دیدار مولانا و شمس تبریزی
بارش برق و باران در سراشر کشور تا آخر هفته ادامه خواهد داشت,بارش برف و باران در سراسر کشور تا آخر هفته ادامه خواهد داشت
فردا ضهر می بینمت,فردا ظهر می بینمت
امروز در کلاس درش به ما ریاظی تدریس شد,امروز در کلاس درس به ما ریاضی تدریس شد
عربستان ضعودی ناچار به پدیرش مطالبات یمن شد,عربستان سعودی ناچار به پذیرش مطالبات یمن شد
جایگاه و معموریت شورای‌ عالی انقلاب فرهنگی حدایت فرهنگی است,جایگاه و مأموریت شورای‌ عالی انقلاب فرهنگی هدایت فرهنگی است
تیم ملی هندبال ایران با سعود از گروه خود در مسابقات قهرمانی جهان به رقابت خواهد پرداخت,تیم ملی هندبال ایران با صعود از گروه خود در مسابقات قهرمانی جهان به رقابت خواهد پرداخت
امیدواریم تعامل خوبی با مجلس داشته باشیم,امیدواریم تعامل خوبی با مجلس داشته باشیم
به علت بار سنگین برف مدارس تعظیل شدند,به علت بارش سنگین برف مدارس تعطیل شدند